abn,name,category,entity_type,entity_status,sources,state,postcode,registration_date,age_years,gst_registered,gst_effective_from,is_current_entity,acn,main_trading_name,phone,email,business_url,found_at_url,updated_at
40009668553,Australian Institute of Management Education and Training Pty Ltd,Education/Training,Australian Private Company,Active,RTO,NSW,2000,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,009668553,AUSTRALIAN INSTITUTE OF MANAGEMENT EDUCATION AND TRAINING PTY LIMITED,"","","",https://training.gov.au/organisation/details/0049,2026-02-19 00:41:02.979889
99086048562,BAI Communications,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2060,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,086048562,BAI COMMUNICATIONS PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:41:45.357723
14006338067,Bomac Engineering Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3803,1999-11-01 00:00:00,26,true,2010-10-01 00:00:00,true,006338067,BOMAC ENGINEERING PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 00:41:48.907395
79088983135,Gravotech Australia,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2145,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,088983135,GRAVOTECH AUSTRALIA PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:25.105323
43008648771,Iscar Australia Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2153,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,008648771,ISCAR AUSTRALIA PTY. LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:37.818184
15006568501,Metal Industries Insurance Brokers,Manufacturing,Australian Private Company,Active,"AMTIL,SEMMA",VIC,3805,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,006568501,SEAR & ASSOCIATES INSURANCE BROKERS PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 01:01:44.666396
51005337057,Scan-Xpress Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3056,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,005337057,SCAN XPRESS PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:18.95225
21003578434,Tesuco Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2128,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,003578434,TESUCO PTY. LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:28.954383
73089101271,Advanced Business Manager,Service Provider,Australian Private Company,Active,NorthLink-FoodSvc,VIC,3032,1999-11-01 00:00:00,26,true,2009-09-01 00:00:00,true,089101271,ADVANCED BUSINESS MANAGER PTY LTD,"","",https://www.advancedbusinessmanager.com/australian-rail-freight-continues-to-grow/,https://northlink.org.au/melbournes-north-food-group/service-provider-directory/,2026-02-19 00:44:07.067568
72004108365,Labelhouse,Service Provider,Australian Private Company,Active,NorthLink-FoodSvc,NSW,2049,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,004108365,LABELHOUSE PTY. LTD.,"","",https://labelhousevic.com.au/,https://northlink.org.au/melbournes-north-food-group/service-provider-directory/,2026-02-19 00:44:22.029225
62000768776,Linde Material Handling,Service Provider,Australian Private Company,Active,NorthLink-FoodSvc,NSW,2148,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,000768776,LINDE MATERIAL HANDLING PTY LIMITED,"","",https://lindemh.com.au/,https://northlink.org.au/melbournes-north-food-group/service-provider-directory/,2026-02-19 00:44:23.076103
32090665277,ReWaste - Organics Recycling Service,Service Provider,Australian Private Company,Active,NorthLink-FoodSvc,NSW,2032,1999-11-01 00:00:00,26,true,2014-04-01 00:00:00,true,090665277,ENVIRO FRIENDLY ENTERPRISES PTY LTD,"","",https://www.rewaste.com.au/,https://northlink.org.au/melbournes-north-food-group/service-provider-directory/,2026-02-19 00:44:31.78704
92089018806,AUTOMATION DESIGN PTY LTD,"",Australian Private Company,Active,ABR-Search,NSW,2681,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,089018806,AUTOMATION DESIGN PTY LTD,"","","","",2026-02-19 00:45:02.353588
99076010583,Embedded Network Manager,"",Australian Private Company,Active,ABR-Search,VIC,3149,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,076010583,MARDEN ENERGY PTY LTD,"","","","",2026-02-19 00:45:24.940037
33089992647,REAL TIME & EMBEDDED SYSTEMS PTY LTD,"",Australian Private Company,Active,ABR-Search,VIC,3931,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,089992647,REAL TIME & EMBEDDED SYSTEMS PTY LTD,"","","","",2026-02-19 00:45:27.373604
80083198529,Advanced Precast (Aust),Manufacturing,Australian Private Company,Active,SEMMA,VIC,3175,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,083198529,ADVANCED PRECAST (NSW) PTY LTD,"","","",https://semma.com.au/members-directory/,2026-02-19 00:56:44.209525
89083545617,Industrial Laser Solutions,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3803,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,083545617,INDUSTRIAL LASER SOLUTIONS PTY LTD,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:24.94012
