abn,name,category,entity_type,entity_status,sources,state,postcode,registration_date,age_years,gst_registered,gst_effective_from,is_current_entity,acn,main_trading_name,phone,email,business_url,found_at_url,google_places_id,google_formatted_name,google_phone,google_website,google_formatted_addr,google_primary_type,google_types,google_rating,google_rating_count,updated_at
40009668553,Australian Institute of Management Education and Training Pty Ltd,Education/Training,Australian Private Company,Active,RTO,NSW,2000,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,009668553,AUSTRALIAN INSTITUTE OF MANAGEMENT EDUCATION AND TRAINING PTY LIMITED,"","","",https://training.gov.au/organisation/details/0049,places/ChIJo3qCCUKuEmsRViiaS2dnph0,Australian Institute of Management (AIM),+61 1300 658 337,https://www.aim.com.au/contact/locations/sydney/?utm_source=google&utm_medium=organic&utm_content=sydney,"Ground Floor, 7 Macquarie Pl, Sydney NSW 2000, Australia",educational_institution,"educational_institution,point_of_interest,establishment",4.1,47,2026-03-10 02:04:51.045069
99086048562,BAI Communications,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2060,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,086048562,BAI COMMUNICATIONS PTY LTD,"","","",https://amtil.com.au/directory/,places/ChIJPWqSTyCvEmsR-6u1OCRqqQU,BAI Communications,+61 2 8113 4666,https://baicommunications.com/,"1 Denison St, North Sydney NSW 2060, Australia",telecommunications_service_provider,"telecommunications_service_provider,point_of_interest,establishment",0.0,0,2026-03-10 02:08:00.990071
14006338067,Bomac Engineering Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3803,1999-11-01 00:00:00,26,true,2010-10-01 00:00:00,true,006338067,BOMAC ENGINEERING PTY. LTD.,"","","",https://amtil.com.au/directory/,places/ChIJOR-Mdy8R1moRu23c1qNysNY,Bomac Engineering Pty Ltd,+61 3 9796 5300,https://www.bomac.com.au/,"Unit 1/153 Wedgewood Rd, Hallam VIC 3803, Australia",service,"service,point_of_interest,establishment",4.9,10,2026-03-10 02:08:10.661788
79088983135,Gravotech Australia,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2145,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,088983135,GRAVOTECH AUSTRALIA PTY LTD,"","","",https://amtil.com.au/directory/,places/ChIJN3svpnqjEmsRzK14eTvaSqk,Gravotech Australia,+61 2 9684 2400,http://www.gravotech.com.au/,"1B/23-29 South St, Rydalmere NSW 2116, Australia",supplier,"supplier,manufacturer,service,point_of_interest,establishment",2.9,9,2026-03-10 02:09:43.619804
43008648771,Iscar Australia Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2153,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,008648771,ISCAR AUSTRALIA PTY. LIMITED,"","","",https://amtil.com.au/directory/,places/ChIJD03iufqhEmsRH69qCwc5kpg,Iscar Australia Pty Ltd,+61 2 8848 3500,http://www.iscar.com.au/,"30 Brookhollow Ave, Norwest NSW 2153, Australia",manufacturer,"manufacturer,point_of_interest,establishment",5.0,2,2026-03-10 02:10:17.73808
15006568501,Metal Industries Insurance Brokers,Manufacturing,Australian Private Company,Active,"AMTIL,SEMMA",VIC,3805,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,006568501,SEAR & ASSOCIATES INSURANCE BROKERS PTY. LTD.,"","","",https://amtil.com.au/directory/,places/ChIJ7Qm3-Q4U1moRrMXOEr8Mmc4,Sign Manufacturers Insurance Brokers,+61 3 9797 2992,http://www.smib.com.au/,"Casey Towers (West Tower, Suite 1 / Level 2/77 Victor Cres, Narre Warren VIC 3805, Australia",insurance_agency,"insurance_agency,service,point_of_interest,establishment",5.0,1,2026-03-10 02:16:16.186736
51005337057,Scan-Xpress Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3056,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,005337057,SCAN XPRESS PTY. LTD.,"","","",https://amtil.com.au/directory/,places/ChIJURRK-npD1moR71ZVfRQH-mU,Scan-Xpress,+61 1300 337 226,https://www.scan-xpress.com.au/,"9/306 Albert St, Brunswick VIC 3056, Australia",supplier,"supplier,manufacturer,point_of_interest,service,store,establishment",4.3,6,2026-03-10 02:12:09.363756
21003578434,Tesuco Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2128,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,003578434,TESUCO PTY. LIMITED,"","","",https://amtil.com.au/directory/,places/ChIJ0RQKWGilEmsRmB_SWmSMmZg,Tesuco,+61 2 9737 9937,http://www.tesuco.com.au/,"12/110-120 Silverwater Rd, Silverwater NSW 2128, Australia",wholesaler,"wholesaler,point_of_interest,establishment",4.0,4,2026-03-10 02:12:36.99547
73004216979,Wilson Transformer Company,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3150,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,004216979,WILSON TRANSFORMER COMPANY PROPRIETARY LIMITED,"","","",https://semma.com.au/directory/,places/ChIJxxGBJ8Y_1moRDZLyvwxSfKs,Wilson Transformer Company,+61 3 9560 0411,http://www.wtc.com.au/,"310-336 Springvale Rd, Glen Waverley VIC 3150, Australia",manufacturer,"manufacturer,point_of_interest,establishment",4.2,9,2026-03-10 02:13:18.715021
89083545617,Industrial Laser Solutions,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3803,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,083545617,INDUSTRIAL LASER SOLUTIONS PTY LTD,"","","",https://semma.com.au/directory/,places/ChIJvxQi5tYQ1moRvtFyFd7vOKE,Industrial Laser Solutions PTY Ltd.,+61 3 9796 3055,https://www.industriallaser.com.au/,"Factory 8/17-23 Keppel Dr, Hallam VIC 3803, Australia",supplier,"supplier,point_of_interest,manufacturer,establishment",3.0,4,2026-03-10 02:14:32.979109
